name,unit,calorie,protein,fat,carbon
ご飯,g,1.68,0.025,0.003,0.371
豚こま,g,2.36,0.184,0.068,0.002
みそ,g,36.0,2.106,0.99,4.428
たまご,a.u.,91.0,7.38,6.18,0.18
ししとう,g,0.27,0.018000000000000002,0.003,0.053
ごま油,bigspoon,126.0,0.0,14.0,0.0
みりん,bigspoon,42.0,0.07,0.0,8.0
醤油,bigspoon,16.0,1.4,0.0,2.2
料理酒,bigspoon,14.0,0.1,0.0,0.6
豆板醤,smallspoon,6.72,0.18,0.162,1.134
冷凍オクラ,g,0.24,0.016,0.003,0.052000000000000005
リッチショコラ,spoon,27.7,4.87,0.5,0.93
とりむね肉,g,1.08,0.223,0.015,0.0
納豆,pack,100.0,7.2,4.4,8.0
6種のサラダ,g,0.22,0.011,0.002,0.049
和風玉ねぎドレッシング,bigspoon,36.0,0.3,2.7,2.7
ごましゃぶ,bigspoon,24.0,0.74,1.7,1.3
カットほうれん草,g,0.21,0.033,0.002,0.031
木綿豆腐,a.u.,112.0,9.8,6.8,3.2
くるみ（素焼き）,g,7.5,0.14300000000000002,0.746,0.078
調整豆乳,ml,0.59,0.036000000000000004,0.039,0.024
1本満足バープロテインチョコ,a.u.,183.0,15.0,8.5,12.1
わかめ（素干しわかめ、出口商店）,g,1.17,0.136,0.016,0.413
